DATE,TIME,TEMP,HUMID
10/22/2024, 3:09:39 PM,255,255
10/22/2024, 3:09:41 PM,255,255
10/22/2024, 3:09:44 PM,255,255
10/22/2024, 3:09:47 PM,255,255
10/22/2024, 3:09:50 PM,255,255
10/22/2024, 3:09:52 PM,255,255
10/22/2024, 3:09:55 PM,255,255
10/22/2024, 3:11:26 PM,0,0
10/22/2024, 3:11:36 PM,0,0
10/22/2024, 3:11:46 PM,0,0
10/22/2024, 3:31:03 PM,255,255
10/22/2024, 3:31:11 PM,255,255
10/22/2024, 3:31:13 PM,255,255
10/22/2024, 3:31:15 PM,255,255
10/22/2024, 3:31:16 PM,255,255
10/22/2024, 3:31:18 PM,255,255
10/22/2024, 3:31:20 PM,255,255
10/22/2024, 3:31:22 PM,255,255
10/22/2024, 3:31:23 PM,255,255
10/22/2024, 3:31:25 PM,255,255
10/22/2024, 3:31:27 PM,255,255
10/22/2024, 3:31:28 PM,255,255
10/22/2024, 3:31:30 PM,255,255
10/22/2024, 3:31:32 PM,255,255
10/22/2024, 3:31:34 PM,255,255
10/22/2024, 3:31:35 PM,255,255
10/22/2024, 3:31:37 PM,255,255
10/22/2024, 3:31:39 PM,255,255
10/22/2024, 3:31:40 PM,255,255
10/22/2024, 3:31:42 PM,255,255
10/22/2024, 3:31:44 PM,255,255
10/22/2024, 3:31:46 PM,255,255
10/22/2024, 3:31:47 PM,255,255
10/22/2024, 3:31:49 PM,255,255
10/22/2024, 3:31:51 PM,255,255
10/22/2024, 3:31:52 PM,255,255
10/22/2024, 3:31:54 PM,255,255
10/22/2024, 3:31:56 PM,255,255
10/22/2024, 3:31:58 PM,255,255
10/22/2024, 3:31:59 PM,255,255
10/22/2024, 3:32:01 PM,255,255
10/22/2024, 3:32:03 PM,255,255
10/22/2024, 3:32:04 PM,255,255
10/22/2024, 3:32:06 PM,255,255
10/22/2024, 3:32:08 PM,255,255
10/22/2024, 3:32:09 PM,255,255
10/22/2024, 3:32:11 PM,255,255
10/22/2024, 3:32:13 PM,255,255
10/22/2024, 3:32:15 PM,255,255
10/22/2024, 3:32:17 PM,255,255
10/22/2024, 3:32:19 PM,255,255
10/22/2024, 3:32:20 PM,255,255
10/27/2024, 2:39:55 PM,95,32
10/27/2024, 2:40:09 PM,95,31
10/27/2024, 2:40:41 PM,95,29
10/27/2024, 2:41:17 PM,95,29
10/27/2024, 2:41:29 PM,95,29
10/27/2024, 2:44:49 PM,95,32
10/27/2024, 2:45:19 PM,95,29
10/27/2024, 2:45:41 PM,95,28
10/27/2024, 2:46:07 PM,95,27
10/27/2024, 2:46:11 PM,95,27
10/27/2024, 2:46:50 PM,95,26
10/27/2024, 2:46:54 PM,95,26
10/27/2024, 2:48:22 PM,95,25
10/27/2024, 2:48:26 PM,95,25
10/27/2024, 2:48:30 PM,95,25
10/27/2024, 2:50:05 PM,95,25
10/27/2024, 2:50:15 PM,95,25
10/27/2024, 2:50:19 PM,95,25
10/27/2024, 2:50:23 PM,95,25
10/27/2024, 2:50:27 PM,95,25
10/27/2024, 2:50:31 PM,95,25
10/27/2024, 2:50:35 PM,95,25
10/27/2024, 2:50:39 PM,95,25
10/27/2024, 2:50:43 PM,95,25
10/27/2024, 2:50:47 PM,95,25
10/27/2024, 2:50:51 PM,95,25
10/27/2024, 2:50:55 PM,95,25
10/27/2024, 2:50:59 PM,95,25
10/27/2024, 2:51:03 PM,95,25
10/27/2024, 2:51:07 PM,95,25
10/27/2024, 2:51:11 PM,95,25
10/27/2024, 2:51:15 PM,95,25
10/27/2024, 2:51:19 PM,95,25
10/27/2024, 2:51:23 PM,95,25
10/27/2024, 2:51:27 PM,95,25
10/27/2024, 2:51:31 PM,95,25
10/27/2024, 2:51:35 PM,94,25
10/27/2024, 2:51:39 PM,94,25
10/27/2024, 2:51:43 PM,94,25
10/27/2024, 2:51:47 PM,93,25
10/27/2024, 2:51:51 PM,93,25
10/27/2024, 2:51:55 PM,93,25
10/27/2024, 2:52:03 PM,92,25
10/27/2024, 2:52:07 PM,92,25
10/27/2024, 2:52:11 PM,92,25
10/27/2024, 2:52:15 PM,92,25
10/27/2024, 2:52:27 PM,91,25
10/27/2024, 2:52:33 PM,91,25
10/27/2024, 2:52:37 PM,91,25
10/27/2024, 2:52:42 PM,91,25
10/27/2024, 2:52:52 PM,90,25
10/27/2024, 2:53:04 PM,89,25
10/27/2024, 2:53:08 PM,89,25
10/27/2024, 2:53:12 PM,89,25
10/27/2024, 2:53:36 PM,88,25
10/27/2024, 2:53:40 PM,88,25
10/27/2024, 2:54:04 PM,87,25
10/27/2024, 2:54:08 PM,87,25
10/27/2024, 2:54:32 PM,87,25
10/27/2024, 2:54:36 PM,87,25
10/27/2024, 2:55:14 PM,95,28
10/27/2024, 3:06:57 PM,95,32
10/27/2024, 3:07:07 PM,95,32
10/27/2024, 3:07:12 PM,95,32
10/27/2024, 3:07:23 PM,95,31
10/27/2024, 3:07:46 PM,95,29
10/27/2024, 3:07:48 PM,95,29
10/27/2024, 3:08:09 PM,95,28
10/27/2024, 3:08:11 PM,95,28
10/27/2024, 3:45:20 PM,95,28
10/27/2024, 3:45:50 PM,95,33
10/27/2024, 3:46:00 PM,95,33
10/27/2024, 3:48:19 PM,95,34
10/27/2024, 3:48:37 PM,95,33
10/27/2024, 3:48:43 PM,95,32
10/27/2024, 3:48:49 PM,95,31
10/27/2024, 3:48:59 PM,95,30
10/27/2024, 3:49:16 PM,95,29
10/27/2024, 3:49:18 PM,95,29
10/27/2024, 3:50:41 PM,95,26
10/27/2024, 3:50:43 PM,95,26
10/27/2024, 3:50:45 PM,95,26
10/27/2024, 3:50:51 PM,95,26
10/27/2024, 3:50:53 PM,95,26
10/27/2024, 3:51:39 PM,95,28
10/27/2024, 3:52:08 PM,95,34
10/27/2024, 3:52:16 PM,95,33
10/27/2024, 3:57:12 PM,0,0
10/27/2024, 3:57:14 PM,0,0
10/27/2024, 3:57:16 PM,0,0
10/27/2024, 3:57:18 PM,0,0
10/27/2024, 3:57:20 PM,0,0
10/27/2024, 3:57:22 PM,0,0
10/27/2024, 3:57:28 PM,0,0
10/27/2024, 3:57:30 PM,0,0
10/27/2024, 3:57:32 PM,0,0
10/27/2024, 3:57:34 PM,0,0
10/27/2024, 3:57:36 PM,0,0
10/27/2024, 3:57:38 PM,0,0
10/27/2024, 3:57:40 PM,0,0
10/27/2024, 3:57:42 PM,0,0
10/27/2024, 3:57:44 PM,0,0
10/27/2024, 3:57:46 PM,0,0
10/27/2024, 3:57:48 PM,0,0
10/27/2024, 3:57:50 PM,0,0
10/27/2024, 3:57:52 PM,0,0
10/27/2024, 3:57:54 PM,0,0
10/27/2024, 3:57:56 PM,0,0
10/27/2024, 3:57:58 PM,0,0
10/27/2024, 3:58:00 PM,0,0
10/27/2024, 3:58:02 PM,0,0
10/27/2024, 3:58:04 PM,0,0
10/27/2024, 3:58:06 PM,0,0
10/27/2024, 3:58:09 PM,0,0
10/27/2024, 3:58:11 PM,0,0
10/27/2024, 3:58:13 PM,0,0
10/27/2024, 3:58:15 PM,0,0
10/27/2024, 3:58:21 PM,0,0
10/27/2024, 3:58:23 PM,0,0
10/27/2024, 3:58:43 PM,95,28
10/27/2024, 3:59:01 PM,95,27
10/27/2024, 3:59:29 PM,95,28
10/27/2024, 3:59:31 PM,95,28
10/27/2024, 3:59:33 PM,95,28
10/27/2024, 8:09:39 PM,95,27
10/27/2024, 8:10:06 PM,95,34
10/27/2024, 8:10:10 PM,95,34
10/27/2024, 8:10:22 PM,95,34
10/27/2024, 8:10:24 PM,95,34
10/27/2024, 8:10:56 PM,95,33
10/27/2024, 8:11:06 PM,95,32
10/27/2024, 8:11:18 PM,95,31
10/27/2024, 8:11:35 PM,95,28
10/27/2024, 8:12:03 PM,95,27
10/27/2024, 8:12:05 PM,95,27
10/27/2024, 8:12:07 PM,95,27
10/27/2024, 8:12:09 PM,95,27
10/27/2024, 8:12:11 PM,95,27
10/27/2024, 8:12:13 PM,95,27
10/27/2024, 8:12:15 PM,95,27
10/27/2024, 8:12:17 PM,95,27
10/27/2024, 8:23:00 PM,48,48
10/27/2024, 8:23:02 PM,48,48
10/27/2024, 8:23:04 PM,48,48
10/27/2024, 8:23:06 PM,48,48
10/27/2024, 8:23:08 PM,48,48
10/27/2024, 8:23:10 PM,48,48
10/27/2024, 8:23:12 PM,48,48
10/27/2024, 8:23:14 PM,48,48
10/27/2024, 8:23:16 PM,48,48
10/27/2024, 8:23:18 PM,48,48
10/27/2024, 8:23:20 PM,48,48
10/27/2024, 8:23:22 PM,48,48
10/27/2024, 8:24:02 PM,48,48
10/27/2024, 8:24:21 PM,48,48
10/27/2024, 8:24:23 PM,48,48
10/27/2024, 8:24:25 PM,48,48
10/27/2024, 8:24:27 PM,48,48
10/27/2024, 8:24:29 PM,48,48
10/27/2024, 8:24:31 PM,48,48
10/27/2024, 8:24:33 PM,48,48
10/28/2024, 12:04:09 PM,95,26
10/28/2024, 12:04:11 PM,95,26
10/29/2024, 1:07:35 PM,69,28
10/29/2024, 1:09:49 PM,48,48
10/29/2024, 1:09:51 PM,48,48
10/29/2024, 1:09:53 PM,48,48
10/29/2024, 1:09:55 PM,48,48
10/29/2024, 1:09:57 PM,48,48
10/29/2024, 1:09:59 PM,48,48
10/29/2024, 1:10:01 PM,48,48
10/29/2024, 1:10:03 PM,48,48
10/29/2024, 1:10:05 PM,48,48
10/29/2024, 1:10:07 PM,48,48
10/29/2024, 1:10:09 PM,48,48
10/29/2024, 1:10:11 PM,48,48
10/29/2024, 1:10:13 PM,48,48
10/29/2024, 1:10:15 PM,48,48
10/29/2024, 1:10:17 PM,48,48
10/29/2024, 1:10:19 PM,48,48
10/29/2024, 1:10:21 PM,48,48
10/29/2024, 1:10:24 PM,48,48
10/29/2024, 1:10:26 PM,48,48
10/29/2024, 1:10:28 PM,48,48
10/29/2024, 1:10:30 PM,48,48
10/29/2024, 1:10:32 PM,48,48
10/29/2024, 1:10:34 PM,48,48
10/29/2024, 1:10:36 PM,48,48
10/29/2024, 1:10:38 PM,48,48
10/29/2024, 1:10:40 PM,48,48
10/29/2024, 1:10:42 PM,48,48
10/29/2024, 1:10:44 PM,48,48
10/29/2024, 1:10:46 PM,48,48
10/29/2024, 1:10:48 PM,48,48
10/29/2024, 1:10:50 PM,48,48
10/29/2024, 1:10:52 PM,48,48
10/29/2024, 1:10:54 PM,48,48
10/29/2024, 1:10:56 PM,48,48
10/29/2024, 1:10:58 PM,48,48
10/29/2024, 1:11:00 PM,48,48
10/29/2024, 1:11:02 PM,48,48
10/29/2024, 1:11:04 PM,48,48
10/29/2024, 1:11:06 PM,48,48
10/29/2024, 1:11:08 PM,48,48
10/29/2024, 1:11:10 PM,48,48
10/29/2024, 1:11:12 PM,48,48
10/29/2024, 1:11:14 PM,48,48
10/29/2024, 1:11:16 PM,48,48
10/29/2024, 1:11:18 PM,48,48
10/29/2024, 1:11:20 PM,48,48
10/29/2024, 1:11:22 PM,48,48
10/29/2024, 1:11:24 PM,48,48
10/29/2024, 1:11:26 PM,48,48
10/29/2024, 1:11:28 PM,48,48
10/29/2024, 1:11:30 PM,48,48
10/29/2024, 1:11:32 PM,48,48
10/29/2024, 1:11:34 PM,48,48
10/29/2024, 1:11:36 PM,48,48
10/29/2024, 1:11:38 PM,48,48
10/29/2024, 1:11:40 PM,48,48
10/29/2024, 1:11:42 PM,48,48
10/29/2024, 1:11:59 PM,48,48
10/29/2024, 1:12:10 PM,48,48
10/29/2024, 1:12:12 PM,48,48
10/29/2024, 1:12:14 PM,48,48
10/29/2024, 1:12:16 PM,48,48
10/29/2024, 1:12:18 PM,48,48
10/29/2024, 1:12:20 PM,48,48
10/29/2024, 1:12:22 PM,48,48
10/29/2024, 1:12:24 PM,48,48
10/29/2024, 1:12:26 PM,48,48
10/29/2024, 1:12:28 PM,48,48
10/29/2024, 1:12:30 PM,48,48
10/29/2024, 1:12:32 PM,48,48
10/29/2024, 1:12:34 PM,48,48
10/29/2024, 1:12:36 PM,48,48
10/29/2024, 1:12:38 PM,48,48
10/29/2024, 1:12:40 PM,48,48
10/29/2024, 1:12:42 PM,48,48
10/29/2024, 1:12:44 PM,48,48
10/29/2024, 1:12:46 PM,48,48
10/29/2024, 1:12:48 PM,48,48
11/12/2024, 10:45:36 AM, 0, 0
11/12/2024, 10:46:01 AM, 0, 0
11/12/2024, 10:46:17 AM, 0, 0
11/12/2024, 10:46:19 AM, 0, 0
11/12/2024, 10:46:21 AM, 0, 0
11/12/2024, 10:46:23 AM, 0, 0
11/12/2024, 10:46:25 AM, 0, 0
11/12/2024, 10:46:28 AM, 0, 0
11/12/2024, 10:46:30 AM, 0, 0
11/12/2024, 10:46:32 AM, 0, 0
11/12/2024, 10:46:34 AM, 0, 0
11/12/2024, 10:46:36 AM, 0, 0
11/12/2024, 10:46:38 AM, 0, 0
11/12/2024, 10:46:40 AM, 0, 0
11/12/2024, 10:46:42 AM, 0, 0
11/12/2024, 10:46:44 AM, 0, 0
11/12/2024, 10:46:46 AM, 0, 0
11/12/2024, 10:46:48 AM, 0, 0
11/12/2024, 11:33:55 AM, 0, 0
11/12/2024, 11:56:09 AM, 0, 0
11/12/2024, 12:01:21 PM, 0, 0
11/12/2024, 1:05:39 PM, 0, 0
11/12/2024, 1:05:58 PM, 0, 0
11/12/2024, 1:06:01 PM, 0, 0
11/12/2024, 1:06:03 PM, 0, 0
11/12/2024, 1:06:05 PM, 0, 0
11/12/2024, 1:06:07 PM, 0, 0
11/12/2024, 1:06:09 PM, 0, 0
11/12/2024, 1:06:11 PM, 0, 0
11/12/2024, 1:06:13 PM, 0, 0
11/12/2024, 1:06:15 PM, 0, 0
11/12/2024, 1:06:17 PM, 0, 0
11/12/2024, 1:06:19 PM, 0, 0
11/12/2024, 1:06:21 PM, 0, 0
11/12/2024, 1:06:23 PM, 0, 0
11/12/2024, 1:06:25 PM, 0, 0
11/12/2024, 1:06:27 PM, 0, 0
11/12/2024, 1:06:29 PM, 0, 0
11/12/2024, 1:06:31 PM, 0, 0
11/12/2024, 1:06:33 PM, 0, 0
11/12/2024, 1:06:35 PM, 0, 0
11/12/2024, 1:06:37 PM, 0, 0
11/12/2024, 1:06:39 PM, 0, 0
11/12/2024, 1:06:41 PM, 0, 0
11/12/2024, 1:06:43 PM, 0, 0
11/12/2024, 1:06:45 PM, 0, 0
11/12/2024, 1:06:47 PM, 0, 0
11/12/2024, 1:06:49 PM, 0, 0
11/12/2024, 1:06:51 PM, 0, 0
11/12/2024, 1:06:53 PM, 0, 0
11/12/2024, 2:10:00 PM, 255, 255
11/12/2024, 2:10:37 PM, 255, 255
11/12/2024, 2:10:39 PM, 255, 255
11/12/2024, 2:10:41 PM, 255, 255
11/12/2024, 2:10:43 PM, 255, 255
11/12/2024, 2:10:45 PM, 255, 255
11/12/2024, 2:10:47 PM, 255, 255
11/12/2024, 2:10:49 PM, 255, 255
11/12/2024, 2:10:51 PM, 255, 255
11/12/2024, 2:10:53 PM, 255, 255
11/12/2024, 2:10:55 PM, 255, 255
11/12/2024, 2:10:57 PM, 255, 255
11/12/2024, 2:10:59 PM, 255, 255
11/12/2024, 2:11:01 PM, 255, 255
11/12/2024, 2:11:03 PM, 255, 255
11/12/2024, 2:11:05 PM, 255, 255
11/12/2024, 2:11:07 PM, 255, 255
11/12/2024, 2:11:09 PM, 255, 255
11/12/2024, 2:11:11 PM, 255, 255
11/12/2024, 2:11:14 PM, 255, 255
11/12/2024, 2:11:16 PM, 255, 255
11/12/2024, 2:11:18 PM, 255, 255
11/12/2024, 2:11:20 PM, 255, 255
11/12/2024, 2:11:22 PM, 255, 255
11/12/2024, 2:11:24 PM, 255, 255
11/12/2024, 2:11:26 PM, 255, 255
11/12/2024, 2:11:28 PM, 255, 255
11/12/2024, 2:11:30 PM, 255, 255
11/12/2024, 2:11:32 PM, 255, 255
11/12/2024, 2:11:34 PM, 255, 255
11/12/2024, 2:11:36 PM, 255, 255
11/12/2024, 2:11:38 PM, 255, 255
11/12/2024, 2:11:40 PM, 255, 255
11/12/2024, 2:11:42 PM, 95, 27
11/12/2024, 2:11:44 PM, 255, 255
11/12/2024, 2:11:46 PM, 255, 255
11/12/2024, 2:11:48 PM, 255, 255
11/12/2024, 2:11:50 PM, 255, 255
11/12/2024, 2:11:52 PM, 255, 255
11/12/2024, 2:11:54 PM, 255, 255
11/12/2024, 2:11:56 PM, 255, 255
11/12/2024, 2:11:58 PM, 255, 255
11/12/2024, 2:12:01 PM, 255, 255
11/12/2024, 2:12:03 PM, 95, 26
11/12/2024, 2:12:05 PM, 255, 255
11/12/2024, 2:12:07 PM, 255, 255
11/12/2024, 2:12:09 PM, 255, 255
11/12/2024, 2:12:11 PM, 255, 255
11/12/2024, 2:12:13 PM, 255, 255
11/12/2024, 2:12:15 PM, 255, 255
11/12/2024, 2:12:17 PM, 255, 255
11/12/2024, 2:12:19 PM, 255, 255
11/12/2024, 2:12:21 PM, 255, 255
11/12/2024, 2:12:23 PM, 255, 255
11/12/2024, 2:12:25 PM, 255, 255
11/12/2024, 2:12:27 PM, 255, 255
11/12/2024, 2:12:29 PM, 255, 255
11/12/2024, 2:12:31 PM, 255, 255
11/12/2024, 2:12:33 PM, 255, 255
11/12/2024, 2:12:35 PM, 255, 255
11/12/2024, 2:12:37 PM, 255, 255
11/12/2024, 2:12:39 PM, 255, 255
11/12/2024, 2:12:41 PM, 255, 255
11/12/2024, 2:12:43 PM, 255, 255
11/12/2024, 2:12:45 PM, 255, 255
11/12/2024, 2:12:47 PM, 255, 255
11/12/2024, 2:12:50 PM, 255, 255
11/12/2024, 2:12:52 PM, 255, 255
11/12/2024, 2:12:54 PM, 95, 26
11/12/2024, 2:12:56 PM, 255, 255
11/12/2024, 2:12:58 PM, 255, 255
11/12/2024, 2:13:00 PM, 255, 255
11/12/2024, 2:13:02 PM, 255, 255
11/12/2024, 2:13:04 PM, 255, 255
11/12/2024, 2:13:06 PM, 255, 255
11/12/2024, 2:13:08 PM, 255, 255
11/12/2024, 2:13:10 PM, 255, 255
11/12/2024, 2:13:12 PM, 255, 255
11/12/2024, 2:13:14 PM, 255, 255
11/12/2024, 2:13:16 PM, 255, 255
11/12/2024, 2:13:18 PM, 255, 255
11/12/2024, 2:13:20 PM, 255, 255
11/12/2024, 2:13:22 PM, 95, 25
11/12/2024, 2:13:24 PM, 95, 25
11/12/2024, 2:13:26 PM, 255, 255
11/12/2024, 2:15:50 PM, 0, 0
11/12/2024, 2:16:00 PM, 0, 0
11/12/2024, 2:16:10 PM, 0, 0
11/12/2024, 2:16:20 PM, 0, 0
11/12/2024, 2:16:30 PM, 0, 0
11/12/2024, 2:16:40 PM, 0, 0
11/12/2024, 2:16:50 PM, 0, 0
11/12/2024, 2:17:00 PM, 0, 0
11/12/2024, 2:17:22 PM, 0, 0
11/12/2024, 2:19:56 PM, 95, 27
11/12/2024, 2:20:31 PM, 83, 28
11/12/2024, 2:21:01 PM, 86, 26
11/12/2024, 2:21:29 PM, 91, 25
11/12/2024, 2:21:39 PM, 91, 25
11/12/2024, 2:22:20 PM, 95, 24
11/12/2024, 2:22:30 PM, 95, 24
11/12/2024, 2:24:28 PM, 95, 24
11/12/2024, 2:24:51 PM, 95, 24
11/12/2024, 2:25:01 PM, 95, 24
11/12/2024, 3:34:29 PM, 0, 0
11/19/2024, 12:56:45 AM, 0, 0
11/19/2024, 12:59:10 AM, 0, 0
11/19/2024, 1:00:41 AM, 0, 0
11/19/2024, 2:42:10 PM, 0, 0
11/19/2024, 2:44:04 PM, 0, 0
11/19/2024, 2:44:56 PM, 0, 0
11/19/2024, 2:52:54 PM, 0, 0
11/19/2024, 3:20:48 PM, 0, 0
11/19/2024, 3:24:44 PM, 95, 27
11/19/2024, 3:30:04 PM, 0, 0
11/19/2024, 3:32:00 PM, 95, 33
11/19/2024, 3:33:18 PM, 95, 28
11/19/2024, 3:33:36 PM, 95, 27
